Winter 4 2005-6 PAX

(note:  some points might not be exactly aligned with the dates, but the overall totals are correct)

TROPHY	POS	DRIVER	  NOV JOYFUND	JAN 	FEB 	MAR 	TOTAL
T	1	BOBBY SMITH	165	175	175		515
T	2	ALAN STRATTON	150	170	 	160	480
T	3	DOUG KEILER	160	 	150	165	475
T	4	PETE WIDAS	127	150	 	155	432
T	5	CAMERON MCCORMICK 	146	155	130	431
T	6	ANDREW BELLEVILLE 	121	130	170	421
T	7	ROB DAVIS	109	124	165	 	398
T	8	SHAWN LAMBERT	146	118	 	134	398
T	9	WES MICHAELS	88	 	160	142	390
T	10	MARC LISNER	91	160	 	127	378
	11	JIM ROBINSON	115	155	 	106	376
	12	PETER FRENCH	106	130	142	 	378
	13	BILL BROSHU	103	134	127	 	364
	14	MARK WOOD	97	142	 	115	354
	15	JIM SETZER	121	 	106	121	348
	16	JASON LISNER	138	94	 	112	344
	17	TERRY BAKER	 	165	 	175	340
	18	JOHN SHEALLY	112	91	134	 	337
	19	JAY CUMMING	 	103	121	103	327
	20	JIM HALTOM	118	88	 	118	324
	21	MICHAEL LINGARD	 	63	146	109	318
	22	DAVID MARTIN	134	 	 	146	280
	23	RICK MARIANI	79	100	 	100	279
	24	ERIC BONNETT	63	97	 	97	257
	25	JIM EWING	 	65	65	124	254
	26	STACY STRATTON	61	85	 	79	225
	27	RUSSELL BROWN	 	67	73	82	222
	28	DALE BLANKENSHIP 	106	94	 	200
	29	GENE RUTLEDGE	 	57	67	76	200
	30	DAVID BROCHU	 	109	 	88	197
	31	NELSON CLARKE	 	39	115	43	197
	32	ANDREW CHISHOLM	69	61	 	63	193
	33	MIKE KEEFE	47	76	 	69	192
	34	KURT WHITE	 	 	118	73	191
	35	TOM BLEH	175	 	 	 	175
	36	MATTHEW KNIPPLE	 	41	91	41	173
	37	ANDY TURNBULL	 	 	170	 	170
	38	ED RAYMUNDO	170	 	 	 	170
	40	ROBERT ROBERTSON65	 	100	 	165
	41	MICHAEL WHITE	5	 	103	55	163
	42	JIM HERLEY	 	17	57	85	159
	43	CURTIS STAPLES	155	 	 	 	155
	44	CHRISTOPHER CHARLE53	 	97	 	150
	45	TREY BLACK	 	 	79	67	146
	46	DAVID GODSELL	 	73	69	 	142
	47	JAMES MCIVER	142	 	 	 	142
	48	ANDREW GHOSN	 	29	51	61	141
	49	JAMES HARVEY	 	 	138	 	138
	50	JEFF ROONEY	 	138	 	 	138
	51	ROBB DAVIS	 	 	 	138	138
